name,city,country,iata,icao,lat,lon,elev,tz,dst,olsontz
Rankin Inlet,Rankin Inlet,Canada,YRT,CYRT,62.81139,-92.115833,94,-6,A,America/Winnipeg
Sudbury,Sudbury,Canada,YSB,CYSB,46.625,-80.798889,1141,-5,A,America/Toronto
Sherbrooke,Sherbrooke,Canada,YSC,CYSC,45.438611,-71.691389,792,-5,A,America/Toronto
Saint John,St. John,Canada,YSJ,CYSJ,45.316111,-65.890278,357,-4,A,America/Halifax
Fort Smith,Fort Smith,Canada,YSM,CYSM,60.020278,-111.961944,671,-7,A,America/Edmonton
Nanisivik,Nanisivik,Canada,YSR,CYSR,72.982222,-84.613611,2106,-5,A,America/Toronto
Summerside,Summerside,Canada,YSU,CYSU,46.440556,-63.833611,56,-4,A,America/Halifax
Sachs Harbour,Sachs Harbour,Canada,YSY,CYSY,71.993889,-125.2425,282,-7,A,America/Edmonton
Cape Dorset,Cape Dorset,Canada,YTE,CYTE,64.23,-76.526667,164,-5,A,America/Toronto
Thompson,Thompson,Canada,YTH,CYTH,55.801111,-97.864166,729,-6,A,America/Winnipeg
Trenton,Trenton,Canada,YTR,CYTR,44.118889,-77.528056,283,-5,A,America/Toronto
Timmins,Timmins,Canada,YTS,CYTS,48.569721,-81.376667,967,-5,A,America/Toronto
City Centre,Toronto,Canada,YTZ,CYTZ,43.627499,-79.396167,251,-5,A,America/Toronto
Tuktoyaktuk,Tuktoyaktuk,Canada,YUB,CYUB,69.433334,-133.026389,15,-7,A,America/Edmonton
Pierre Elliott Trudeau Intl,Montreal,Canada,YUL,CYUL,45.470556,-73.740833,118,-5,A,America/Toronto
Repulse Bay,Repulse Bay,Canada,YUT,CYUT,66.521389,-86.224722,80,-6,A,America/Winnipeg
Hall Beach,Hall Beach,Canada,YUX,CYUX,68.776111,-81.243611,27,-5,A,America/Toronto
Rouyn Noranda,Rouyn,Canada,YUY,CYUY,48.206111,-78.835556,988,-5,A,America/Toronto
La Ronge,La Ronge,Canada,YVC,CYVC,55.15139,-105.261944,1242,-6,N,America/Regina
Vermilion,Vermillion,Canada,YVG,CYVG,53.355833,-110.82389,2025,-7,A,America/Edmonton
Qikiqtarjuaq,Broughton Island,Canada,YVM,CYVM,67.545833,-64.031389,21,-5,A,America/Toronto
Val D Or,Val D'or,Canada,YVO,CYVO,48.053333,-77.782778,1107,-5,A,America/Toronto
Kuujjuaq,Quujjuaq,Canada,YVP,CYVP,58.096111,-68.426944,129,-5,A,America/Toronto
Norman Wells,Norman Wells,Canada,YVQ,CYVQ,65.281617,-126.798219,238,-7,A,America/Edmonton
Vancouver Intl,Vancouver,Canada,YVR,CYVR,49.193889,-123.184444,14,-8,A,America/Vancouver
Buffalo Narrows,Buffalo Narrows,Canada,YVT,CYVT,55.841944,-108.4175,1444,-6,N,America/Regina
Wiarton,Wiarton,Canada,YVV,CYVV,44.745834,-81.107222,729,-5,A,America/Toronto
Petawawa,Petawawa,Canada,YWA,CYWA,45.952221,-77.319168,427,-5,A,America/Toronto
Winnipeg Intl,Winnipeg,Canada,YWG,CYWG,49.910036,-97.239886,783,-6,A,America/Winnipeg
